location,acci_counts
"(40.848093, -73.9306686)",0
"(40.8480118, -73.9304923)",0
"(40.8481397, -73.9308625)",335
"(40.8049448, -73.9513691)",0
"(40.8051865, -73.9511881)",0
"(40.8621943, -73.9135097)",0
"(40.8070511, -73.9243359)",0
"(40.8066556, -73.9249587)",0
"(40.8085125, -73.9306079)",0
"(40.8082671, -73.9310385)",0
"(40.8619024, -73.9124243)",0
"(40.8619827, -73.9128928)",0
"(40.8058192, -73.9250491)",0
"(40.8044241, -73.912087)",0
"(40.741996, -73.954122)",0
"(40.7413348, -73.9545799)",0
"(40.7420391, -73.9543458)",0
"(40.743364, -73.9510648)",0
"(40.7408781, -73.9521059)",0
"(40.7424879, -73.9527805)",0
"(40.7445092, -73.948886)",0
"(40.743574, -73.9506793)",0
"(40.736712, -73.9527583)",0
"(40.7368169, -73.9527748)",0
"(40.7339799, -73.9386869)",0
"(40.767691, -73.9047824)",0
"(40.6777735, -73.9358384)",0
"(40.677173, -73.924765)",0
"(40.6774683, -73.9303031)",0
"(40.6819514, -73.9687525)",0
"(40.6820499, -73.9691995)",0
"(40.6757028, -73.9022524)",0
"(40.6760503, -73.9061707)",0
"(40.6757597, -73.9026771)",0
"(40.6761321, -73.9078592)",0
"(40.6764227, -73.9008256)",0
"(40.7081152, -73.9570147)",0
"(40.7080169, -73.9567281)",0
"(40.7082844, -73.9575086)",0
"(40.6960642, -73.9830264)",0
"(40.6962279, -73.9814132)",0
"(40.7004243, -73.987752)",0
"(40.70067, -73.9877341)",0
"(40.715401, -73.926926)",0
"(40.7139782, -73.9263023)",0
"(40.7141249, -73.9263666)",0
"(40.7444531, -73.9750993)",0
"(40.806416, -73.942262)",152
"(40.8065955, -73.9426871)",0
"(40.7222945, -73.9862562)",10
"(40.7228579, -73.9881131)",0
"(40.7227753, -73.9878409)",0
"(40.6959405, -73.9845649)",0
"(40.6959338, -73.9843465)",0
"(40.7596264, -73.9954726)",413
"(40.7603611, -73.9972216)",1
"(40.69613, -73.9846747)",0
"(40.6961976, -73.9861291)",0
"(40.698677, -73.958858)",0
"(40.698974, -73.95702)",0
"(40.6924248, -73.9888886)",0
"(40.6950173, -73.988663)",0
"(40.6726978, -73.969486)",0
"(40.7347504, -73.9523625)",0
"(40.674022, -73.9695832)",0
"(40.7227664, -73.947152)",0
"(40.7246177, -73.9482326)",0
"(40.7378295, -73.934975)",0
"(40.730428, -73.9803529)",73
"(40.7313565, -73.982557)",240
"(40.743782, -73.973512)",231
"(40.7433795, -73.9725427)",0
"(40.8632348, -73.9197718)",0
"(40.8631688, -73.9198485)",13
"(40.8163963, -73.9589319)",0
"(40.817007, -73.959493)",57
"(40.6962675, -73.9878572)",0
"(40.6962936, -73.9885443)",0
"(40.7684033, -73.9817632)",0
"(40.7688908, -73.9819934)",0
"(40.6742358, -73.9696437)",0
"(40.674664, -73.9702633)",0
"(40.6740947, -73.9707167)",0
"(40.6749269, -73.9708298)",0
"(40.67435, -73.970655)",0
"(40.8613935, -73.9246404)",0
"(40.8610926, -73.9244436)",0
"(40.8204199, -73.9265162)",0
"(40.8207347, -73.926346)",0
"(40.8185852, -73.9273791)",0
"(40.8194955, -73.9269439)",0
"(40.8200594, -73.9266916)",0
"(40.748107, -73.947355)",0
"(40.7511138, -73.9451886)",0
"(40.753998, -73.94243)",1
"(40.7525506, -73.9438228)",0
"(40.7515804, -73.9337892)",0
"(40.7497198, -73.9361334)",0
"(40.6920468, -73.9824338)",0
"(40.6899251, -73.9813796)",0
"(40.6913087, -73.9820625)",0
"(40.6762878, -73.9081521)",0
"(40.680079, -73.9055347)",0
"(40.6815089, -73.9041281)",0
"(40.6781356, -73.9079175)",0
"(40.6773681, -73.9080457)",0
"(40.7156227, -73.9920831)",2
"(40.7216587, -73.9936267)",0
"(40.7208209, -73.9939397)",0
"(40.7209767, -73.9938815)",0
"(40.7141865, -73.9287539)",0
"(40.7143798, -73.9298679)",0
"(40.714723, -73.929601)",0
"(40.7786177, -73.9816256)",138
"(40.7782561, -73.9818982)",0
"(40.7249392, -73.9903384)",48
"(40.731019, -73.985909)",97
"(40.725582, -73.98987)",95
"(40.727992, -73.9881146)",87
"(40.7274076, -73.9885349)",60
"(40.7242892, -73.9908277)",127
"(40.7425438, -73.9775341)",0
"(40.7447777, -73.9758792)",407
"(40.743511, -73.9768176)",11
"(40.7441087, -73.9763748)",128
"(40.743042, -73.9161542)",0
"(40.7429835, -73.9158927)",0
"(40.7449482, -73.9327892)",0
"(40.7426815, -73.9159564)",0
"(40.7426771, -73.9150006)",0
"(40.6849516, -73.9780928)",0
"(40.6847386, -73.9782167)",0
"(40.7427108, -73.9523661)",0
"(40.7429944, -73.9518003)",0
"(40.7675876, -73.982264)",0
"(40.7676883, -73.9819972)",0
"(40.8740703, -73.9104301)",0
"(40.8732009, -73.9115677)",0
"(40.744646, -74.006385)",67
"(40.745816, -74.005535)",81
"(40.7422885, -74.0044325)",241
"(40.7416415, -74.0048213)",168
"(40.7421252, -74.0045542)",0
"(40.8745523, -73.9096352)",0
"(40.688761, -73.980843)",0
"(40.687345, -73.979841)",0
"(40.6876672, -73.9800695)",0
"(40.8770817, -73.9061343)",0
"(40.8768665, -73.9065065)",0
"(40.877706, -73.905657)",0
"(40.878924, -73.904787)",0
"(40.8765175, -73.9070878)",0
"(40.876749, -73.9066572)",0
"(40.8732959, -73.9116731)",0
"(40.8741601, -73.9105486)",0
"(40.8707672, -73.9146859)",0
"(40.8711588, -73.9139795)",9
"(40.871216, -73.9141154)",66
"(40.7444495, -73.973024)",68
"(40.7454879, -73.9722603)",0
"(40.7450709, -73.972567)",38
"(40.6731319, -73.97034)",0
"(40.6727286, -73.9700921)",0
"(40.7434761, -74.0035806)",72
"(40.7452231, -74.002304)",75
"(40.7378801, -73.9809087)",229
"(40.7366007, -73.9818452)",90
"(40.7460675, -73.974927)",465
"(40.7103357, -73.9568334)",0
"(40.710183, -73.9584575)",0
"(40.710215, -73.958007)",0
"(40.7698614, -73.9131987)",0
"(40.7695916, -73.911379)",0
"(40.76907, -73.907996)",0
"(40.7359375, -73.9748157)",0
"(40.866438, -73.9304693)",57
"(40.8666798, -73.9307312)",0
"(40.861332, -73.92548)",3
"(40.860242, -73.92842)",34
"(40.8618235, -73.9241374)",0
"(40.8616676, -73.9244087)",0
"(40.8617501, -73.9244554)",0
"(40.863121, -73.9206112)",71
"(40.8617455, -73.9240648)",0
"(40.8630456, -73.9205688)",0
"(40.8631896, -73.92066)",0
"(40.8589802, -73.9229261)",23
"(40.8591987, -73.9231693)",0
"(40.8595101, -73.9225464)",0
"(40.8622993, -73.9205169)",0
"(40.8635998, -73.9195831)",7
"(40.8634843, -73.9197437)",0
"(40.8637692, -73.9193403)",0
"(40.8638064, -73.9194167)",46
"(40.862133, -73.9133522)",0
"(40.8617552, -73.9117484)",0
"(40.8617825, -73.9125191)",0
"(40.8618394, -73.9129334)",0
"(40.862749, -73.904934)",0
"(40.8627867, -73.9059773)",0
"(40.8633778, -73.9199712)",0
"(40.8728468, -73.9119097)",0
"(40.8644347, -73.9188694)",0
"(40.8644712, -73.9189539)",185
"(40.8121515, -73.9461061)",0
"(40.809416, -73.9481019)",0
"(40.8109125, -73.9470081)",0
"(40.8115415, -73.9465501)",2
"(40.7047836, -74.0152442)",0
"(40.7047995, -74.0164046)",0
"(40.7048371, -74.0156504)",40
"(40.7137811, -73.9980743)",17
"(40.7140611, -73.9975944)",0
"(40.7203048, -73.9939823)",0
"(40.7201802, -73.9940362)",0
"(40.7200948, -73.9941321)",1
"(40.7172381, -73.9954766)",187
"(40.7184702, -73.9948092)",163
"(40.7223456, -73.9932232)",133
"(40.7216185, -73.9934936)",99
"(40.7240579, -73.9925863)",0
"(40.7233388, -73.9928538)",1
"(40.7256296, -73.9919998)",0
"(40.7558137, -73.9864171)",114
"(40.754842, -73.984118)",359
"(40.7560361, -73.9869489)",379
"(40.7584296, -73.9926312)",471
"(40.7589791, -73.9939359)",372
"(40.7527462, -73.9671577)",0
"(40.7528275, -73.9670238)",0
"(40.7617073, -74.0004569)",0
"(40.753624, -73.969431)",88
"(40.754877, -73.96852)",99
"(40.754251, -73.968978)",150
"(40.7514201, -73.9710444)",0
"(40.7583127, -73.9629223)",207
"(40.759619, -73.9619593)",161
"(40.7705679, -73.9919943)",2
"(40.7703191, -73.991402)",185
"(40.7576322, -73.9634155)",111
"(40.7570079, -73.9638711)",94
"(40.7608639, -73.9610636)",214
"(40.7602403, -73.9615093)",141
"(40.749192, -73.9695076)",0
"(40.7486661, -73.9697753)",0
"(40.7445132, -73.9712361)",0
"(40.7457704, -73.9704356)",37
"(40.768258, -73.9814928)",0
"(40.8513207, -73.9412279)",0
"(40.8036866, -73.9523002)",0
"(40.7242438, -73.993134)",0
"(40.7250362, -73.9953664)",176
"(40.7243691, -73.9934855)",0
"(40.7280358, -74.003005)",0
"(40.7257539, -73.9976695)",17
"(40.7268876, -73.9999657)",126
"(40.7279861, -74.0021905)",65
"(40.7228473, -73.9885668)",0
"(40.7226441, -73.9879084)",0
"(40.7374789, -73.935054)",0
"(40.7368206, -73.9315883)",0
"(40.7284535, -73.9756829)",71
"(40.7200008, -73.9787205)",6
"(40.7202334, -73.9794638)",0
"(40.7134442, -73.9782181)",0
"(40.7138115, -73.9794133)",0
"(40.7142522, -73.9808919)",23
"(40.7144744, -73.981642)",11
"(40.708846, -74.002503)",39
"(40.7094916, -74.001657)",122
"(40.7124679, -73.9922661)",0
"(40.7131973, -73.9923728)",0
"(40.7408505, -74.0051265)",34
"(40.7409462, -74.0053437)",0
"(40.7431589, -74.0074665)",0
"(40.74347, -74.007238)",83
"(40.744061, -74.006811)",126
